FID,id,name,name_category,category,wkb_geometry,long,lat
stednavn_punkt.fid-361ad8c1_150a94a2aab_-816,30,Svanemøllehallen,17249,Idrætshaller,POINT (12.578719482195991 55.71422673580446),12.57871948,55.71422674
stednavn_punkt.fid-361ad8c1_150a94a2aab_-815,31,Østerbrohuset,17249,Idrætshaller,POINT (12.587911329581212 55.70749322486865),12.58791133,55.70749322
stednavn_punkt.fid-361ad8c1_150a94a2aab_-814,0,Kulturhuset Indre By,18147,"Medborger-, Kulturhus",POINT (12.563648387169117 55.68361060197746),12.56364839,55.6836106
stednavn_punkt.fid-361ad8c1_150a94a2aab_-813,1,Karens Hus,18147,"Medborger-, Kulturhus",POINT (12.540234495419215 55.71087054231686),12.5402345,55.71087054
stednavn_punkt.fid-361ad8c1_150a94a2aab_-812,2,Dansekapellet,18147,"Medborger-, Kulturhus",POINT (12.5301666118678 55.71624182668981),12.53016661,55.71624183
stednavn_punkt.fid-361ad8c1_150a94a2aab_-811,3,Blågården - Støberiet,18147,"Medborger-, Kulturhus",POINT (12.556770109039634 55.68609122692412),12.55677011,55.68609123
stednavn_punkt.fid-361ad8c1_150a94a2aab_-810,4,Rytterskolen,18147,"Medborger-, Kulturhus",POINT (12.49797241530816 55.70389177835532),12.49797242,55.70389178
stednavn_punkt.fid-361ad8c1_150a94a2aab_-80f,5,Kulturhuset Pilegården,18147,"Medborger-, Kulturhus",POINT (12.498025892355757 55.701865277416005),12.49802589,55.70186528
stednavn_punkt.fid-361ad8c1_150a94a2aab_-80e,6,Kulturhuset Islands Brygge,18147,"Medborger-, Kulturhus",POINT (12.576278352730036 55.666836827032874),12.57627835,55.66683683
stednavn_punkt.fid-361ad8c1_150a94a2aab_-80d,7,Kulturstationen Vanløse,18147,"Medborger-, Kulturhus",POINT (12.491065844939982 55.68706828063159),12.49106584,55.68706828
stednavn_punkt.fid-361ad8c1_150a94a2aab_-80c,8,Christianshavns Beboerhus,18147,"Medborger-, Kulturhus",POINT (12.590967441124645 55.67124804182475),12.59096744,55.67124804
stednavn_punkt.fid-361ad8c1_150a94a2aab_-80b,9,VerdensKulturCentret,18147,"Medborger-, Kulturhus",POINT (12.560564378798679 55.69153162939831),12.56056438,55.69153163
stednavn_punkt.fid-361ad8c1_150a94a2aab_-80a,10,Kvarterhuset,18147,"Medborger-, Kulturhus",POINT (12.603936487981368 55.665203677828174),12.60393649,55.66520368
stednavn_punkt.fid-361ad8c1_150a94a2aab_-809,11,Blågården - Kulturhuset Kapelvej,18147,"Medborger-, Kulturhus",POINT (12.551302695460212 55.686545865333855),12.5513027,55.68654587
stednavn_punkt.fid-361ad8c1_150a94a2aab_-808,12,Lygten Station,18147,"Medborger-, Kulturhus",POINT (12.53757315176873 55.70163620496969),12.53757315,55.7016362
stednavn_punkt.fid-361ad8c1_150a94a2aab_-807,13,Kulturanstalten - Lyrskovgade,18147,"Medborger-, Kulturhus",POINT (12.543715195841289 55.66782679418936),12.5437152,55.66782679
stednavn_punkt.fid-361ad8c1_150a94a2aab_-806,14,Huset-KBH,18147,"Medborger-, Kulturhus",POINT (12.575391045771307 55.67641847717647),12.57539105,55.67641848
stednavn_punkt.fid-361ad8c1_150a94a2aab_-805,15,Kultur Valby - Prøvehallen,18147,"Medborger-, Kulturhus",POINT (12.509886321875806 55.66460371015051),12.50988632,55.66460371
stednavn_punkt.fid-361ad8c1_150a94a2aab_-804,16,BIBLIOTEKET Rentemestervej,18147,"Medborger-, Kulturhus",POINT (12.522916217324196 55.70841203177259),12.52291622,55.70841203
stednavn_punkt.fid-361ad8c1_150a94a2aab_-803,17,Krudttønden,18147,"Medborger-, Kulturhus",POINT (12.57499653174796 55.705233546065834),12.57499653,55.70523355
stednavn_punkt.fid-361ad8c1_150a94a2aab_-802,18,Kulturanstalten - Onkel Dannys Plads,18147,"Medborger-, Kulturhus",POINT (12.561006414426359 55.66999390796001),12.56100641,55.66999391
stednavn_punkt.fid-361ad8c1_150a94a2aab_-801,19,Kulturhuset Bispebjerg,18147,"Medborger-, Kulturhus",POINT (12.525315488458677 55.709058207547805),12.52531549,55.70905821
stednavn_punkt.fid-361ad8c1_150a94a2aab_-800,20,Kulturhuset Tomsgårdsvej,18147,"Medborger-, Kulturhus",POINT (12.525315488458677 55.709058207547805),12.52531549,55.70905821
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ff,21,Børnekulturhuset Sokkelundlille,18147,"Medborger-, Kulturhus",POINT (12.516649678839181 55.70992860814933),12.51664968,55.70992861
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7fe,22,Kraftwerket,18147,"Medborger-, Kulturhus",POINT (12.51855171695037 55.661435388507954),12.51855172,55.66143539
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7fd,23,Kultur Valby - Valby Kulturhus,18147,"Medborger-, Kulturhus",POINT (12.518431031015561 55.660966522877196),12.51843103,55.66096652
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7fc,24,2200 Kultur - Osramhuset,18147,"Medborger-, Kulturhus",POINT (12.549520843419455 55.70296754452305),12.54952084,55.70296754
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7fb,25,Karens Minde Kulturhus,18147,"Medborger-, Kulturhus",POINT (12.529663800582032 55.646928020969895),12.5296638,55.64692802
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7fa,26,Amager Kulturpunkt,18147,"Medborger-, Kulturhus",POINT (12.609358350951803 55.65794962093013),12.60935835,55.65794962
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f9,27,Børnekulturhus Amar',18147,"Medborger-, Kulturhus",POINT (12.609796103755324 55.65782747851631),12.6097961,55.65782748
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f8,0,Nikolaj Kunsthal,18148,"Museum, Udstilling",POINT (12.581474418386874 55.678790927330944),12.58147442,55.67879093
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f7,1,Købehavns Stadsarkiv,18148,"Museum, Udstilling",POINT (12.569577674965068 55.67562753235746),12.56957767,55.67562753
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f6,2,Thorvaldsens Museum,18148,"Museum, Udstilling",POINT (12.578283111249261 55.676532830461234),12.57828311,55.67653283
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f5,3,Københavns Museum,18148,"Museum, Udstilling",POINT (12.55304193258035 55.67245240301635),12.55304193,55.6724524
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f4,0,Valby Vandkulturhus,17237,Svømmehal/Bad,MULTIPOINT ((12.515266883349383 55.64897591363164)),12.51526688,55.64897591
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f3,1,Havnebadet Sluseholmen,17237,Svømmehal/Bad,MULTIPOINT ((12.553926127573828 55.646364577541284)),12.55392613,55.64636458
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f2,2,Bavnehøj Friluftsbad,17237,Svømmehal/Bad,MULTIPOINT ((12.5386058265266 55.65968582053321)),12.53860583,55.65968582
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f1,3,Havnebadet Fisketorvet,17237,Svømmehal/Bad,MULTIPOINT ((12.565402699902135 55.663461101827856)),12.5654027,55.6634611
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7f0,4,Havnebadet Islands Brygge,17237,Svømmehal/Bad,MULTIPOINT ((12.577869310677192 55.66860888257773)),12.57786931,55.66860888
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ef,5,Sundby Bad,17237,Svømmehal/Bad,MULTIPOINT ((12.601908818398794 55.64645057655745)),12.60190882,55.64645058
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ee,6,Helgoland Badeanstalt,17237,Svømmehal/Bad,MULTIPOINT ((12.64003338145373 55.663694179810506)),12.64003338,55.66369418
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ed,7,Tingbjerg Svømmehal,17237,Svømmehal/Bad,MULTIPOINT ((12.484466744519672 55.7190873971022)),12.48446674,55.7190874
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ec,8,Bellahøj Friluftsbad,17237,Svømmehal/Bad,MULTIPOINT ((12.514314523455413 55.70604126223107)),12.51431452,55.70604126
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7eb,9,Bellahøj Svømmestadion,17237,Svømmehal/Bad,MULTIPOINT ((12.514314523455413 55.70604126223107)),12.51431452,55.70604126
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ea,10,Øbro-Hallen,17237,Svømmehal/Bad,MULTIPOINT ((12.576293022867121 55.70475643400615)),12.57629302,55.70475643
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e9,11,Svanemøllestranden,17237,Svømmehal/Bad,MULTIPOINT ((12.58330530184618 55.72050044648887)),12.5833053,55.72050045
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e8,12,Emdrup Bad,17237,Svømmehal/Bad,MULTIPOINT ((12.547187002484652 55.71834207367829)),12.547187,55.71834207
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e7,13,Vesterbro Svømmehal,17237,Svømmehal/Bad,MULTIPOINT ((12.538757375947688 55.664562258068536)),12.53875738,55.66456226
