FID,wkb_geometry,long,lat,vejkode,vejnavn,name,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,reg_metode
cykelstativ.1048,POINT (12.579181321344823 55.69977020880953),12.57918132,55.69977021,5228,Odensegade,Odensegade cykelstativ.1048,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Indmålt med GPS
cykelstativ.1049,POINT (12.579233448227987 55.699710869873684),12.57923345,55.69971087,5228,Odensegade,Odensegade cykelstativ.1049,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,20,Ikke registreret,Indmålt med GPS
cykelstativ.1050,POINT (12.577719073893219 55.70162314107871),12.57771907,55.70162314,8580,Østerbrogade,Østerbrogade cykelstativ.1050,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,10,Ikke registreret,Indmålt med GPS
cykelstativ.1051,POINT (12.578536295355155 55.70024965273722),12.5785363,55.70024965,5044,Nordre Frihavnsgade,Nordre Frihavnsgade cykelstativ.1051,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,21,Ikke registreret,Indmålt med GPS
cykelstativ.1052,POINT (12.578793374604135 55.70038943482613),12.57879337,55.70038943,5044,Nordre Frihavnsgade,Nordre Frihavnsgade cykelstativ.1052,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,47,Ikke registreret,Indmålt med GPS
cykelstativ.1053,POINT (12.579373153610954 55.70052916021908),12.57937315,55.70052916,5044,Nordre Frihavnsgade,Nordre Frihavnsgade cykelstativ.1053,Østerbro,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Indmålt med GPS
cykelstativ.1054,POINT (12.580421747730972 55.70110998226269),12.58042175,55.70110998,5044,Nordre Frihavnsgade,Nordre Frihavnsgade cykelstativ.1054,Østerbro,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Indmålt med GPS
cykelstativ.1055,POINT (12.566795006782254 55.72775642531545),12.56679501,55.72775643,7684,Tuborgvej,Tuborgvej cykelstativ.1055,Østerbro,Model 32,På fortov,Enkeltsidet,Vinkelret,8,Ikke registreret,Ikke registreret
cykelstativ.1056,POINT (12.583897940576394 55.71696552684774),12.58389794,55.71696553,7008,Strandvænget,Strandvænget cykelstativ.1056,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,15,Ikke registreret,Indmålt med GPS
cykelstativ.1057,POINT (12.583915883163181 55.71689151534488),12.58391588,55.71689152,7008,Strandvænget,Strandvænget cykelstativ.1057,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,15,Ikke registreret,Indmålt med GPS
cykelstativ.1058,POINT (12.577730293096792 55.71674919528233),12.57773029,55.7167492,7008,Strandvænget,Strandvænget cykelstativ.1058,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,Indmålt med GPS
cykelstativ.1059,POINT (12.582974931223616 55.71665991215178),12.58297493,55.71665991,7008,Strandvænget,Strandvænget cykelstativ.1059,Østerbro,Andet,På gadeareal,Dobbeltsidet,Vinkelret,10,Ikke registreret,Indmålt med GPS
cykelstativ.1060,POINT (12.576540766294196 55.71601260874057),12.57654077,55.71601261,720,Borgervænget,Borgervænget cykelstativ.1060,Østerbro,Model 32,På plads,Enkeltsidet,Vinkelret,7,Ikke registreret,Indmålt med GPS
